                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.85329,                0.47521,                0.98786,                0.98989,                      1,                  0.995,                0.79928,                0.78596,                0.36182,                0.97312,                0.00307,                0.00307,                0.00307
                     37,                0.85321,                0.47313,                0.99083,                0.98618,                 0.9913,                0.99435,                 0.7589,                0.86266,                0.40151,                  1.015,               0.002872,               0.002872,               0.002872
                     38,                0.86471,                0.48801,                0.98506,                0.98514,                      1,                  0.995,                0.78647,                0.78731,                 0.3615,                0.97033,               0.002674,               0.002674,               0.002674
                     39,                0.84185,                0.47351,                0.97544,                0.98622,                0.99431,                0.99439,                0.80993,                0.75715,                0.34481,                0.94921,               0.002476,               0.002476,               0.002476
                     40,                0.81136,                0.42308,                0.95804,                 0.9907,                      1,                  0.995,                0.80734,                 0.7507,                0.35278,                0.94222,               0.002278,               0.002278,               0.002278
                     41,                0.80196,                0.41542,                0.95147,                0.98895,                      1,                0.99486,                 0.8044,                 0.7465,                0.35645,                 0.9446,                0.00208,                0.00208,                0.00208
                     42,                0.78425,                0.40062,                0.94315,                0.99736,                0.99074,                  0.995,                0.81963,                 0.7308,                0.34685,                0.93484,               0.001882,               0.001882,               0.001882
                     43,                0.76994,                0.39498,                0.93191,                0.98621,                      1,                0.99491,                 0.8183,                0.71897,                0.34421,                0.92782,               0.001684,               0.001684,               0.001684
                     44,                0.74926,                0.38454,                0.92818,                0.98285,                      1,                0.99491,                0.81432,                0.72987,                0.33732,                0.93678,               0.001486,               0.001486,               0.001486
                     45,                0.75124,                0.38481,                0.93299,                  0.994,                0.99537,                  0.995,                0.82986,                0.71974,                0.33212,                0.93572,               0.001288,               0.001288,               0.001288
                     46,                0.74067,                0.37284,                0.93008,                0.99079,                0.99576,                  0.995,                0.82519,                0.72308,                0.32574,                 0.9351,                0.00109,                0.00109,                0.00109
                     47,                0.74542,                0.36378,                0.93587,                 0.9944,                      1,                  0.995,                0.83178,                0.69479,                0.31706,                0.92433,               0.000892,               0.000892,               0.000892
                     48,                0.72454,                0.35588,                0.92557,                      1,                0.99451,                  0.995,                0.83598,                0.68932,                0.31117,                0.92199,               0.000694,               0.000694,               0.000694
                     49,                0.71808,                0.35431,                0.92653,                0.99539,                 0.9988,                  0.995,                0.83468,                0.69812,                0.30996,                0.92401,               0.000496,               0.000496,               0.000496
